Season,Episode,Character,Line
16,12,Stan,"What the hell?  Shelly I need to use your cell phone.
"
6,1,Cartman,"Noo. Don't you see what this all means? Anybody could do what he did. What's to stop someone else from going to say, City Wok, and cutting a deal with them? Say they'll eat nothing but their Chinese food, but then eat only a little tiny bit of it and exercise.
"
13,3,Cartman,"And where has all the money gone? It must have gone somewhere! The answer is obvious, my friends! It is the Jews! Covetous Jews who have taken all our money and hoarded it for themselves! Hidden all the cash in some... secret Jew cave that they built, probably back in the early 60s! It is the Jews, my friends, who are oft...
"
14,1,Cartman,"Yeah dude, EA Sports outdid themselves this time.
"
6,9,Kyle,"Well then we're gonna end up freezing his hellish heart with a cool island song.
"
8,13,Cartman,"It is fried chicken!  Oh my God. It's a fried chicken sundae.
"
8,1,Cartman,"Aw man, did you see the look on Craig's face?! That was awesome!
"
1,1,Cartman,"You guys, I am seriously getting pissed off right now! I know there is no such things as aliens!  Oh, God damn it!
"
9,6,Cartman,"They can't hurt me, Butters. I'm already dead. 
"
1,7,Wendy,"Hi guys.
"
4,4,Timmy,"Timmih.
"
3,15,Cartman,"Jews...
"
4,13,Kyle,"I will!
"
6,9,Cartman,"Yeah! We can form a club that takes food stamps from poor people and then sells them back to the government for a profit.
"
7,1,Stan,"I remember this whole thing.  Ike tried to follow you to school. You kicked him, then Cartman told us about his alien dream.
"
8,13,Kyle,"Awww, go on and do it already!
"
10,4,Cartman,"Seeya.
"
3,5,Stan,"Sshh! Be quit. We could get in big trouble for being here.
"
5,13,Kenny,"(Eric, well you're my best friend, too.)
"
5,7,Mr. Garrison,"Okay, children, who can tell me what a condom is?  Yes, Jenny?
"
8,9,Kyle,"Butters? What the hell are you doing?
"
6,11,Randy,"Well what are we gonna do, Mayor?! We have to stop these abductors from being able to get into our town!
"
5,5,Stan,"They're back!
"
2,12,Mr. Mackey,"Now, young man, uh- school is a time for learning, mkay? Not for immature skylarkings.
"
9,13,Kyle,"Jambu? Jambu?  Cool! It worked! Hey, Jambu.
"
6,13,Cartman,"Guys, we shall slay the Ringworm and take his bounty of treasure!  For that is the way of the--
"
17,5,Kyle,"Ike!  Wait! '
"
3,8,Butters,"Upstairs? Uhwhy why there's ain't nothin' upstairs but adults. Uhwhy would we want to go upstairs for?
"
12,11,Cartman,"Dude, this is boring. This is just a bunch of walking around.
"
12,8,Cartman,"It's already started. White people in here working for the Chinese. They're selling out their own country!
"
2,13,Cartman,"Oh, pretty good, except I had the weirdest dream last night.
"
13,14,Kyle,"Yeah, well people should  know that peeing in pools is  bad!
"
7,15,Stan,"What?
"
18,8,Stan,"Dude, you know what we should do? We should all go in on a rooster.
"
3,8,Randy,"I'm just having a hard time with what we did in the hot tub.
"
15,1,Kyle,"It's crazy, dude! They're saying it's because I agreed to the latest terms and conditions on iTunes!
"
4,13,Kyle,"Okay. Ready? One, two, three, not it!
"
9,3,Kyle,"Probably.
"
4,1,Kyle,"Yeah, fatass! Get your fat butt on the sled!
"
5,12,Mr. Garrison,"That's the fifth family of them that's moved here. Seems like all of a sudden South Park is being overrun by those types.
"
18,3,Stan,"Wha-wait, Lorde sounds like a girl.
"
5,1,Mr. Garrison,"Hey, watch it, fag.
"
17,9,Kenny,"Tadaima! 
"
13,9,Butters,"And that's... three thousand dollars today for Charise. 
"
8,9,Kyle,"Who are you?
"
15,14,Kyle,"My name. Is not. ""Kyel.""
"
6,13,Randy,"I love that lingerie.  Yeah. You like that?
"
9,9,Butters,"You think I'm ugly-ehehee...
"
11,1,Randy,"Oh naggers. Of course, naggers.  Right.
"
4,17,Stan,"E mouths...
"
1,6,Kyle,"But everybody watches Terrance & Phillip.
"
2,4,Cartman,"Eech.  Wait a minute! No, you wouldn't!
"
14,1,Cartman,"Dude, check it out! It's EA Sports Tiger Woods PGA Tour '11 for Xbox. 
"
8,2,Jimmy,"The Games are in two days, Nancy. I can't be w-wasting my time.
"
13,2,Cartman,"So, guys! Any of you do anything interesting last night?!
"
4,10,Stan,"Now, let's see. What about the time we set Mr. Garrison's cat on fire?
"
1,13,Stan,"Oh my God, they videotaped killing Kenny!
"
7,11,Butters,"But I can't see nothin'.
"
7,1,Cartman,"This is like my fifth time. 
"
9,14,Stan,"This is sooo embarrassing.
"
5,12,Cartman,"Oh, come on, Token! Your new house is four times the size of anyone else's in town! And who else gets crab cakes and, and lobster tail in their lunch boxes?!
"
1,2,Mr. Garrison,"Okay Bebe, this is your line.
"
14,2,Stan,"Did you get to any dirty parts yet?
"
13,9,Butters,"Boy oh boy, this sure is great! I've been thinkin', Sally: I could probably drum up some third grade customers if you could do kisses before school too. We could make double the money.
"
3,12,Stan,"All we have to do is sneak in the graveyard, dig her up, scare the fifth graders, then put her back before anyone notices she's gone,
"
15,13,Kyle,"Would you guys stop!
"
18,9,Stan,"What are you talking about?
"
13,13,Cartman,"No, because it turns out that by rule, the student body president can't also be the morning announcement reader!
"
4,11,Kyle,"You're keeping that money yourself?
"
7,7,Randy,"Dammit!
"
6,12,Stan,"Did you get it? 
"
8,3,Stan,"Mel Gibson is chasing after us. You've gotta go faster.
"
13,2,Cartman,"Fuckin' butthole!
"
13,5,Butters,"Eric and Jimmy came up with the funniest joke ever.
"
3,17,Mr. Mackey,"M'kay, I want everyone to stay together, m'kay? Nobody move!
"
4,10,Stan,"Okay, you'd better baptize Kyle some more.
"
12,7,Wendy,"Look, Stan, they had beef jerky back then.
"
5,4,Cartman,"Five bucks a hair? The- that's like a million dollars!
"
9,14,Randy,"I'm sorry, son! I'm off the wagon!
"
7,6,Cartman,"Stupid assholes!  How come nobody has a crime to solve?
"
5,5,Stan,"Come on, Kenny, hurry up!
"
13,5,Cartman,"It's cool man, it's cool. 
"
6,16,Cartman,"I'm a professional, suh!  Don't worry about it, Butters. You're gonna be a hundred percent satisfied.
"
7,6,Stan,"Hey, you owe us a dollar, lady.
"
14,5,Stan,"I saw him once. 
"
14,5,Randy,"Alright, now we just need to figure out how to get Muhammad from the back of the truck into Tom Cruise's limo.
"
3,2,Randy,"You wanted to see me, Mayor?
"
9,11,Cartman,"That's right! This is bullcrap! We True Gingers are furious that the role of Annie is being minimalized!
"
2,4,Kyle,"Meaning what?
"
2,9,Kyle,"Maybe they should project the movies on Cartman's ass. 
"
6,7,Butters,"Aaah! Ah, Ah, Aaah! Nooo! Nooo!
"
2,13,Kyle,"That does it! Shenanigans!  SHENANIGANS!
"
11,5,Stan,"You said ""hand over the bunny.""
"
8,1,Kenny,"(Yeah! Take this, Professor Chaos!)  (Feel my wrath!) 
"
16,11,Butters,"He won't betray us! Will you, Kenny?!
"
2,9,Kenny,"(Wait!) 
"
2,14,Stan,"You can't take Chef's money! It's illeg--!
"
16,7,Cartman,"Alright guys, alright! If there is a new girl at our school, we're not gonna start putting claims on her and getting into big fights! It's gonna be her choice who she likes the most.
"
4,17,Cartman,"Oh, sorry, you might get some germs while you're walking around in human feces!
"
11,9,Stan,"So?
"
1,12,Cartman,"WAAAGH! Damn your black heart, Barbra Streisand!
"
7,6,Stan,"You got it, Ken? 
"
15,5,Kyle,"And so, thirty percent of the money we make off the licensing agreement with EA Sports goes to the orphanage for the needy crack babies. Did you see the blueprints? The babies will have their own putt putt golf course.  Why does it matter how much I'm making, Stan? If the crack babies are getting a place to grow and develop, why does my salary matter?
"
13,10,Kyle,"I'll kill you, Triceratops! You made fun of my crippled mother!
"
10,11,Cartman,"I am not!
"
14,7,Jimmy,"If you get in a pinch, go through, it's a cinch-
"
16,6,Cartman,"Hey yeah, ziplining! That could be really cool!
"
18,10,Cartman,"Hoh, this should get some comments. 
"
4,17,Kyle,"Aw,  Jesus Christ!
"
5,3,Stan,"You said we're free to leave whenever we want
"
9,7,Cartman,"Dude, you don't just go up to a girl and ask her if you can stick your penis in her vagina. Ye-you have to ask her on a date, take her out for some Italian food.
"
17,10,Wendy,"Let's just get back to cheering, okay?!
"
10,4,Cartman,"You see, my father worked for a newspaper in my native country of Denmark. His newspaper showed an image of Mohammad and, two days later, terrorists suicides bombed his building. I was in the lobby when it happened.  First one terrorist suicide bombed us and, then dozens more. They just kept coming. Suicide bombers running in the building and blowing up one after another! They were like Mexican jumping beans. I just don't wanna see people here at your studio getting hurt, because... that would be, of course, your responsibility.  Ow..
"
13,13,Mr. Mackey,"M'kay, really nice, Mike, uh, maybe next time you can get past the first word. Oh, Casey Miller, good, you're trying out too?
"
9,13,Cartman,"He hasn't said a word since we brought him here.
"
3,14,Randy,"Let's bring those Confederate bastards down! 
"
5,1,Cartman,"I'm sure they're just holding it 'til the very last scene.
"
2,3,Kyle,"Yeah, this is stupid! Books aren't magical. 
"
6,11,Stan,"Dude, sometimes I think our parents are really stupid.
"
4,13,Mr. Garrison,"No, children! I've recounted 106 times now and I keep coming up with seven to six! Except in the one instance where it came out seven to five, and one where it came out twelve to fourteen. It's over! Ike is class president!
"
14,8,Cartman,"Then maybe I can make myself believe it too.  Thanks you guys. I'm gonna go chase a dream. 
"
16,9,Kyle,"We should not be wasting time and money making sure Cartman's fat scooter can't be tipped over!
"
16,13,Stan,"...I don't know.  I like it.
"
10,9,Kyle,"So you blamed the government?!
"
13,12,Cartman,"Oh yeah, nice, Kenny. 
"
4,1,Kyle,"Well then,  you've got to call the jail right now and tell them that you forgive Cartman for being a dumbass!
"
2,4,Stan,"Ahhh, bicycles?
"
7,10,Cartman,"I think I have a plan, though we'll have to do it tonight.  We'll start by sneaking into town, cleverly disguised as black people.  At 5:45 Kenny and Kyle split off and set a diversion on the east end of town.  Meanwhile, Stan and I sneak into the Mayor's office  and steal some of the explosives the old people have stashed. Nine o'clock: we rendezvous at the Country Kitchen Buffet, where we strap the explosives and the timer to Kyle's chest. We say our tearful goodbyes to Kyle, and then we send him inside. 
"
7,14,Butters,"When do you wanna see me?
"
2,12,Stan,"Okay. We're done.
"
17,3,Cartman,"Yeah Token, that's the law! Everything inside the red line is lava.
"
6,1,Kyle,"Yep.
"
3,2,Kyle,"Dude! You're still alive, Cartman?
"
8,4,Randy,"It isn't on. Nothing's on. It's off.
"
17,8,Butters,"You mean Princess Kenny, m'lord?
"
1,3,Cartman,"Scuzzlebutt is a creature that lives up on this very mountain, and kills anybody who dares climb to the top.
"
17,2,Randy,"Will do, officer. Will... do... 
"
2,3,Stan,"Look! 
"
18,10,Cartman,"What the hell?!
"
2,4,Mr. Mackey,"Aw, you're just like the government, man! Trying to prosecute outta one side of your mouth, m'kay, while supporting guns outta the other, m'kay?
"
7,11,Butters,"Oh God, oh God!
"
12,9,Cartman,"Don't try and make me feel better, you guys, it isn't... Wait, wait a minute. Why would you guys be saying stuff to make me feel better? Unless... unless you do think I'm cool. 
"
8,8,Randy,"Jesus. I guess maybe you'll never understand how important voting is.  Goodbye, Son.  That's... one of the hardest things a parent ever has to do.
"
15,2,Cartman,"Hör zu, diese ganze Dinge ist ein Fehler. 
"
13,4,Butters,"Oh. Hey fellas.
"
3,10,Kyle,"Destroy it?
"
9,10,Stan,"I can't. I'm busy.
"
4,11,Kenny,"(Where am I?)
"
11,7,Kyle,"I don't know.
"
18,6,Kyle,"You just push it on other people?!
"
1,13,Mr. Garrison,"You're drunk, Mr. Hat! 
"
1,11,Stan,"I think so.
"
16,4,Cartman,"All I can promise you is that this is going to be the most memorable Passover ever.  ""Cartman's Passover Holiday Special"", starring, THE JEWPACABRA! 
"
7,10,Mr. Garrison,"Uh, can I help you folks find something?  Oowww! 
"
4,15,Cartman,"Whoa! That totally surprised me!  I can't believe how the show manages to stay fresh.
"
1,3,Randy,"Well, this graph shows everything from normal to bad.  Right now South Park is here.
"
12,10,Stan,"Don't worry you guys. I'm sure our parents are freaking out right now trying to find us.
"
9,2,Stan,"Dude, these people have no idea what's going on. Let's get out of here.
"
15,7,Randy,"Yeah it, it doesn't sound like that to us.
"
15,10,Mr. Mackey,"Spearheaded by you, m'kay, made him feel there was no other way out.
"
7,13,Cartman,"So, heh gentlemen, looks like only one of us gets to be in the commercial, huh? Who will it be...? Gentlemen, the game is on!
"
16,1,Kyle,"All right, you see, Clyde. Okay, we wanna help him sue whoever invented the toilet.
"
4,8,Cartman,"Nah-ah! I'm just a better debater than you guys!
"
10,2,Kyle,"Well... maybe I'll take just half a hit of acid.
"
12,6,Randy,"We're gonna head west. There's a rumor goin' around there might be some Internet out there. So we're headed out Californee Way.
"
6,8,Cartman,"I bet you twenty bucks it'll work!
"
6,3,Butters,"Hah yeah, how are we go-? Wait... Butters' chin?
"
11,10,Butters,"Uh, I got somethin'! I got it!  It's uh... Oh jeez I thnk it's a leprechaun!
"
4,9,Cartman,"Problem, Chef. I have m-many problems.
"
14,9,Randy,"I don't really work out.
"
11,1,Randy,"An O please.
"
15,11,Randy,"Say Sharon, how would you like to go to New York for the weekend?
"
7,9,Stan,"Oh yeah.
"
4,9,Randy,"And just like that I left everything. I dropped out of high school...
"
18,6,Stan,"How?
"
1,2,Wendy,"Officer Barbrady, Mr. Garrison is about to kill Kathie Lee! We have to find him!
"
6,7,Cartman,"Sea people... coming in the mail tomorrow...  Yesss... Yeesss...
"
11,2,Cartman,"That son of a bitch. He's gonna show everyone that picture. Only twelve hours from now.  That's it. I don't have a choice. I'm gonna have to bring Mom in on this one! I'm just... going to have to tell her the truth.  Ow. OW. OW!
"
5,14,Butters,"Oh.  Alright, then. I-
"
11,2,Kyle,"He isn't actually going to show everyone...
"
16,9,Cartman,"Dude, I'm not fat! I don't drive around on a mobility scooter like  bitch! 
"
14,9,Stan,"Dude, what are you doing?
"
13,10,Kyle,"Let's do this! One! Two!
"
5,2,Stan,"What do we want?
"
11,10,Cartman,"Hello, Mr. Broflovski, Ike. Nice evening, isn't it? Well Kyle, shall we go up to your room for a few minutes.
"
4,9,Stan,"Well but, Dad, all my friends are doing it.
"
2,10,Stan,"Whoa, dude! You've got herpes on your face, too!
"
3,3,Kyle,"Shut up, Cartman!
"
7,7,Cartman,"You're all a bunch of God-damned pussies! 
"
16,13,Mr. Garrison,"Now, when Dr. Drew told Jeff Conway he was on a one-way street to nowhere, what tactics did he use to try and convince-? 
"
7,1,Stan,"Guys. Look. 
"
7,3,Kyle,"So we're not TP'ing a house with kids inside it!
"
12,3,Cartman,"Agh, Kenny! Knock it off! What's wrong with you?
"
11,2,Butters,"Wait. Now I am confused.
"
10,12,Cartman,"So I'm not too late! Come on, let's go!
"
15,12,Cartman,"Oh fine, go on and leave! I'm gonna find out who did this to Clyde, and I'm gonna have your fuckin' balls! Fly to Christ.
"
5,1,Cartman,"Goddamn it! When are they gonna say ""shit""?!
"
6,5,Butters,"Sure! I'm good at all kinds of jobs!
"
3,12,Cartman,"Heh heh, I'm sweet.
"
6,7,Cartman,"Why can't societies just live in peace?
"
16,12,Stan,"They said they were heading to the big party at the community center. You have to stop it. My friends are in trouble.
"
10,7,Cartman,"She doesn't let me wear whatever I want anymore. Things have really gotten out of hand! My mom must die so I can have a place to live, but without her trying to run my life. She's like Hitler with all the demands she makes.
"
18,10,Stan,"That self-promoting asshole!
"
15,10,Cartman,"I was just thinkin' that... m-m-maybe we could... eat lunch together. I've always kind of...  liked you.
"
6,10,Kyle,"Hoh!
"
12,11,Randy,"That's a that's a, that's a new sound. 
"
7,15,Kyle,"Ike!
"
10,13,Kyle,"Aw Goddamnit, now you've made me miss my ride! My whole day is screwed up because of you! 
"
13,13,Butters,"Hey Eric!
"
14,8,Cartman,"Could it be I... only lost the race because I somehow wasn't poor enough?
"
2,14,Kyle,"We’ll get my dad to be Chef’s lawyer!
"
7,9,Kyle,"I don't know.  Let me go check. 
"
7,1,Kyle,"I'm not putting my finger up Cartman's butt!
"
10,10,Cartman,"Oh, suck my balls you ginger Jew rat hall monitor! Punkass stoolie, who the fuck do you think you are?!
"
5,11,Cartman,"I... must.. fight it! Need... forty... dollars!
"
11,4,Kyle,"...You didn't save everyone, I did! You were just out harassing Muslims!
"
9,3,Stan,"And what does she do?
"
1,13,Cartman,"You're very welcome, Polly Prissy Pants.  Would you like some tea, Clyde Frog?
"
2,4,Stan,"Dude, you shouldn't have told them that. Now they're gonna find him and cut off his penis!
"
12,1,Cartman,"So he got HIV like fifty years ago, and he's still totally fine! Magic Johnson has some kind of resistance to the virus, Kyle. I've been researching it since I got infected. If we can track him down and isolate his genetic prototype, we have a chance of beating this thing, buddy.  You and me, Kyle. We can overcome our illness; I swear it to you!
"
8,2,Jimmy,"Timmy and I are competing in a variety of events.
"
9,12,Stan,"I I realize that to really be a church, we can't charge people for help.
"
11,4,Kyle,"Look, we already have the guy's blog. Maybe we can find an address and check it out on MapQuest.
"
11,7,Randy,"Look, Glen. We're saved. 
"
2,16,Kyle,"Do you see him?
"
6,4,Kyle,"Dude, maybe we should end this.
"
7,2,Stan,"Dude, I am so glad we stayed out of that one.
"
1,3,Cartman,"Because, it loves the taste of blood, and likes to add pieces to its deformed body.
"
8,2,Cartman,"So?! So, dude, think about it. If somebody just pretended to be mentally handicapped, they could easily win the competition and get the thousand bucks!
"
1,12,Kyle,"Wait. Isn't there some rule about not getting into cars with strnagers?
"
16,6,Kyle,"Me?!
"
5,13,Cartman,"Not at all, but go on. 
"
3,4,Kenny,"(I understand, dude.)
"
10,8,Kyle,"Who is this?
"
10,12,Cartman,"Where am I?
"
16,11,Kenny,"(What about me?)
"
15,8,Kyle,"It's too late for that. Things just can't go back, Stan, uh.  Ah-I'm with Cartman Burger now.
"
12,8,Cartman,"Ho ho, that's a good one, Ping Ling. Hoho. So ah where were we? Oh yes, the invasion pran.
"
7,12,Stan,"What's that?
"
3,3,Stan,"What's a succubus?
"
3,8,Butters,"Wuh, no, I'm not sure. Uh-I'm not sure at all. Wha-what am I doin' again?
"
12,10,Stan,"Yes!
"
7,10,Stan,"Dad, I'm scared.
"
6,15,Stan,"Kyle. No, Kyle! Aw crap! 
"
1,12,Kyle,"Hey! Don't try to pass it back on me, fatass!
"
12,9,Wendy,"What are you doing?! 
"
13,11,Cartman,"What do you mean? This song is sweet.
"
9,2,Cartman,"Ma'am, I need to clear out your giggling stoners and your drum-circle hippies RIGHT NOW, or soon they're gonna attract something much worse!
"
9,12,Stan,"Neither did I!
"
18,1,Kyle,"Well what the hell do we do?
"
8,11,Butters,"Huh?
"
8,2,Jimmy,"Ni- I can- I can't!  Huff. Oh man.  Gee whiz, Timmy. It looks like we have some pretty stiff competition this year.  All of the special athletes seem to be in tip-top condition, and I can't even get past seven ru-reps. Hoh well, that's it for me, Timmy. I'm p-p-p-pooped. I'll see you in the locker room.
"
15,12,Cartman,"Five dollars has been donated in each of your names to the Clyde Frog Foundation. Fly fly fly...
"
7,14,Stan,"Yeah, it still hurts a lot, but ...I just realized that there's gonna be a lot of painful times in life, so, I'd better learn to deal with it the right way.  Hey Wendy!  You're a bitch. Token?  Right here, buddy. 
"
4,7,Stan,"Dude, you can stop faking now. We got a substitute teacher.  Kyle?
"
16,9,Cartman,"Don't know what took me so long, dude. All I needed was a few extra pounds and the insurance company paid for my own private one! See? It's got a basket in front for my candy corn Oreos. 
"
7,4,Cartman,"Nonono. I've seen this work before. Just give me a second.  Oh okay, okay. How about this: Say guys, 1776 was so long ago. I wonder what life would have been like back then?  Back then? Back then? Back then?  Um... Oh waitwait, I know, I know! Heheh, you know guys, I don't even care about 1776. It was so long ago, that I don't think it has anything to do with me.  With me. With... anything to do with me. With me.
"
3,7,Cartman,"I'm sorry. Did you say something, Skyler?  Agh!
"
16,11,Butters,"Oh thi-this is my friend, Kenny.
"
4,1,Butters,"On your marks! Get set! Uh-go! 
"
13,7,Cartman,"Haven't you assholes been watching the news?  Pirating is back, my friends. Swashbuckling adventure on the high seas! The stuff we've all dreamed about! And it's all happening right here:  Somalia.
"
4,3,Cartman,"You see, in America we have... log rides!  Bacon double-cheeseburgers!  Sheep-shearing contests!
"
13,14,Kyle,"I'm not getting back in the water.
"
13,1,Kenny,"(Of course, dude!)
"
16,10,Randy,"You just... order stuff off of Amazon and you can't remember what?
"
6,8,Randy,"Look, I just don't think it's the best idea to let our boys to go on a c-cruise with the priests.
"
3,5,Cartman,"God, I'm glad you guys know all these ""pooping outside"" rules!  Urgh. Come on, now.
"
8,8,Stan,"This is bullcrap, dude!
"
14,10,Kyle,"Dude. What's wrong with you?
"
9,6,Butters,"He can't! Don't you understand?!
"
8,3,Kyle,"No I'm not! God damn it Cartman, you're not gonna kill me off again!
"
5,4,Cartman,"Gawh, this is really good, Scott!
"
2,18,Stan,"Uh. Hi.
"
6,5,Kyle,"Kyle.
"
3,4,Stan,"You ready Tweek? You ready Craig? Let's get in on!
"
7,11,Cartman,"Butters!
"
1,4,Stan,"I was with my new friend, Big Gay Al. He showed me his Big Gay Animal Sanctuary, and took me on a Big Gay Boat Ride, where I learned all about the wonders of gaiety.  It's true, I'll show you.
"
16,1,Kyle,"From what?
"
18,7,Cartman,"Because if you are, it's not cool!
"
6,10,Wendy,"Oh, for Christ's sake!
"
4,2,Kyle,"Dad, there is so a tooth fairy, huh?
"
3,17,Stan,"Dude, I can't wait 'til those New Yorker kids play the brown noise and crap their pants.
"
6,12,Cartman,"Candy-shopping sprees have that effect on people, Kyle.
"
3,1,Kenny,"(Oh, God damn it!)
"
15,3,Mr. Mackey,"What?
"
7,6,Cartman,"Stop playing games!
"
1,11,Kyle,"No, she wasn't!
"
16,9,Cartman,"Hey Kyle, can I come in for a second?
"
18,1,Butters,"Another two dollars!
"
8,9,Kyle,"So how do we stop it?
"
12,7,Cartman,"What'd we do? We've been here the whole time.
"
9,7,Jimmy,"What? Uh who told you that?
"
12,1,Cartman,"Oh, you have HIV, huh Kyle? Guess it isn't so funny now, is it?
"
8,2,Timmy,"Haaa!  Oh, oh!  Jimmy.
"
15,10,Stan,"We only have music class on Thursday.
"
8,9,Kyle,"It would've been faster if Cartman hadn't slashed the tires!
"
6,12,Randy,"Oh God, and we told our boys they'd never reach heaven.
"
14,8,Butters,"That was fast.
"
6,13,Jimmy,"No, the video suh... the video s...tih...
"
11,7,Cartman,"City of Venice
Right by Matt's house
You can chill if you're homeless.
"
5,14,Butters,"Thaat's that's me,  Yeah. .
"
15,7,Kyle,"Oh God...
"
15,14,Kenny,"(This is Eric Cartman.)
"
13,5,Cartman,"Abebeh, abebebebebeah! We both came up with it together! You wanna know how it happened?!
"
4,14,Stan,"Where's Gobbles, Timmy?
"
10,4,Cartman,"Yes. So my plan is to use this whole Mohammad thing as a way to scare the network into pulling tonight's show. I'm going to use fear to get them to do what I want.
"
6,3,Butters,"Wait! W-why does it have to be me??
"
6,16,Stan,"Oh really? Oh, okay, uh where are you located, please?  Great, uumm, can I come by tomorrow?
"
4,3,Stan,"Damn, dude, do you see how much money this place is raking in?
"
3,4,Kenny,"(Hey!)  (Hey!)
"
4,8,Wendy,"Say it'll be like this forever.
"
3,1,Cartman,"Oh, that's good. We need some more toilet paper. 
"
4,12,Stan,"Well, here we are, dude, the first day of fourth grade.
"
12,12,Mr. Garrison,"Whoa, Jesus, it's already happening. Society's breaking down!
"
12,11,Kyle,"Go look! It's all an ancient Incan prophecy.
"
4,6,Cartman,"Neato! Having older friends kicks ass, uh! You see, I've, I've really been having a tough time. I've kind of matured faster than my other friends ; we don't really relate anymore, and, and uh, alright uh, all my friends seem so childish now.
"
14,10,Stan,"Well, no, that's my pencil box. I need my pencil box.
"
1,2,Stan,"Cartman, what the hell are you talking about?
"
7,14,Jimmy,"...Okay.  Hey uh-Wen, hey wu-Wendy. 
"
18,5,Kenny,"(Are you serious?!)
"
3,10,Stan,"Yeah, dude. Don't you know? It's all about the Chinpokomon video game now. Did you bring your special Chinpokomon game controller?
"
9,3,Cartman,"Because I'll answer and pretend I'm talking to somebody super famous and important. When Token sees that, maybe he'll think we're legit.
"
15,4,Cartman,"Burn it down, dude! 
"
17,5,Kyle,"Ike, I do! I just-
"
1,1,Stan,"Oh, don't worry about him.
"
15,6,Butters,"AAAAAAAAAAA!  AAAAAAAAAAA!
"
3,1,Cartman,"Respect my authoritah!
"
4,7,Kenny,"(Uh huh)
"
14,14,Cartman,"Lobster foam?  It says very clearly on the lunch schedule that today is pizza day!
"
11,5,Stan,"Yeah, but why?
"
9,1,Kyle,"Look, Stan, I'm finally whole! My dad is even gonna take me back down to the all-star game to see if I can try out for the team again!
"
18,8,Randy,"Alright, for this last bit I'm gonna need a volunteer. Anybody?
"
6,16,Stan,"Butters, we're running away!
"
2,18,Cartman,"I'm right here, Kyle.
"
16,12,Stan,"Blockbuster Video?
"
18,9,Kyle,"But that's all that matter now! It's just all ... and the new celebrity?
"
8,2,Cartman,"The Special Olympics? What's so special about them?
"
18,10,Stan,"Trying to find my dad. He's supposed to take me to the board game store.
"
4,16,Cartman,"Seize her! 
"
18,7,Butters,"Ahhh! Wuhhhh! Ahhh- 
"
18,3,Cartman,"Yeah sooo I'm thinking of water feature here, you know. get the sound of running water, yeah kind of Zen it out.
"
15,6,Butters,"Well alright, Watson, well let's find out what we need to and get out of here!
"
4,13,Cartman,"Hey, dudes.
"
4,7,Cartman,"Oh, sweet, dude. Substitute teacher.
"
